trial_id,condition,T_trial_s,CE_velocity,n_gripper_press,gripper_rate_hz,n_mode_switch,raw_csv
1,B1,152.680720,0.193032,3,0.019649,0,B1_trial_01_raw.csv
2,B1,85.360480,0.183291,4,0.046860,0,B1_trial_02_raw.csv
3,B1,81.664925,0.193452,2,0.024490,0,B1_trial_03_raw.csv
4,B1,101.320271,0.172793,2,0.019739,0,B1_trial_04_raw.csv
5,B1,90.128690,0.188336,2,0.022190,0,B1_trial_05_raw.csv
6,B1,82.768221,0.173662,2,0.024164,0,B1_trial_06_raw.csv
7,B1,86.249190,0.165556,2,0.023189,0,B1_trial_07_raw.csv
8,B1,82.672878,0.203477,2,0.024192,0,B1_trial_08_raw.csv
9,B1,71.624330,0.176136,2,0.027923,0,B1_trial_09_raw.csv
10,B1,62.073082,0.190617,2,0.032220,0,B1_trial_10_raw.csv
11,B1,105.664912,0.161407,3,0.028392,1,B1_trial_11_raw.csv
12,B1,88.752357,0.179980,2,0.022535,0,B1_trial_12_raw.csv
13,B1,64.448857,0.189514,2,0.031032,0,B1_trial_13_raw.csv
14,B1,89.640563,0.174914,2,0.022311,0,B1_trial_14_raw.csv
15,B1,69.353299,0.188261,2,0.028838,0,B1_trial_15_raw.csv
16,B1,80.016997,0.214836,2,0.024995,0,B1_trial_16_raw.csv
17,B1,59.170163,0.188610,2,0.033801,0,B1_trial_17_raw.csv
18,B1,74.128333,0.182435,4,0.053960,0,B1_trial_18_raw.csv
19,B1,51.216395,0.201436,2,0.039050,0,B1_trial_19_raw.csv
20,B1,61.185259,0.233848,2,0.032688,0,B1_trial_20_raw.csv
